Plot,Location,Lat,Lon,Elevation,AspectRC,Slope,Terrain,Streamd,Herb,Shrub,Litter,TreeBA,ACSA,LITU,QUPR,TSCA,pH,OM,Ca,Mg,P,K,N,SoilSand,ACRA,ARTR,CATH,CHMA,DILA,GALA,GEMA,LISU,POBI,SACA,THDI,TRGR,UVGR,VIRO
B19,BentCreek,349482.9,3926066.98,811.85,11,20,13,90.55,16.2,4.7,1.7,12953.3,0,0.0701,0,0,4.6,8.9,141,50,4,52,0.25,0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0
B3,BentCreek,350495.05,3926407.74,736.14,1,13,-7,80.62,10.8,3.6,1.5,9194.9,0,0,0,0.01,4.2,13.6,51,24,4,40,0.23,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BC42,BentCreek,351452.87,3927323.26,703.58,5,17,-37,148.66,12.1,6.3,2.3,10544.3,0,0,0,0,4.4,14.2,28,18,4,35,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC44,BentCreek,349439.42,3924783.29,956.1,11,14,30,20,79.2,10.7,1.4,29036.8,0,0.5304,0,0,5,8.9,187,67,2,83,0.29,0.49,1,1,0,0,0,1,0,0,1,1,0,0,0,0
MC13,MineralCreek,373982.08,3951762.51,1508.66,12,22,23,300,78.6,25,1.5,14223.9,0.0255,0,0,0,4.5,19.1,800,45,6,85,0.77,0.6,1,1,1,0,1,0,1,1,0,0,0,0,0,0
MC17,MineralCreek,373301.44,3952031.08,1316.92,16,37,1,30,70.8,11.4,1.5,12612.9,0.0237,0,0,0,4.7,21,330,63,3,84,0.49,0.55,1,1,1,0,1,0,1,1,0,0,0,0,0,0
MC20,MineralCreek,372368.56,3951836.14,1558.22,10,34,-10,340,63.9,8,1.3,7666.6,0.0212,0,0,0,4.4,22.3,118,35,5,77,0.72,0.53,0,1,0,0,1,0,0,1,1,0,0,1,1,0
MC205,MineralCreek,372397.7,3954403.18,972.82,11,32,0,70.71,28.6,24,1.6,13759.3,0.3924,0.2989,0.168,0,4.8,9.8,218,100,3,95,0.29,0.53,1,1,1,0,1,1,1,0,1,1,1,0,0,1
MC207,MineralCreek,372971.12,3954084.29,943.35,6,29,18,10,40,41.3,1.8,8185.3,0.012,0.0498,0.0731,0.0494,5.4,9.1,491,130,3,76,0.29,0.62,1,1,0,1,1,1,0,0,1,1,1,0,0,0
MC208,MineralCreek,372862.58,3954028.11,958.19,13,25,22,78.1,15.2,8.3,2,21278.2,0,0.4663,0,0.2976,4.8,17.5,242,87,3,88,0.53,0.5,1,1,0,0,1,0,0,0,0,1,1,0,0,1
MC209,MineralCreek,373630.63,3953093.48,1094.05,8,27,2,40,25.6,23.9,1.6,23196.2,0,0.1479,0.0643,0,4.6,12.7,44,38,4,54,0.33,0.51,0,0,0,1,0,0,0,1,0,0,0,0,0,1
MC210,MineralCreek,373416.89,3952399.62,1266.72,7,26,-34,111.8,48.3,27.9,1.7,7397.1,0,0.0232,0,0,4.7,17,397,149,6,134,0.5,0.56,0,1,1,0,1,1,0,1,0,0,1,0,1,1
MC29,MineralCreek,372044.94,3954036.89,1036.31,8,27,16,40,27.7,16.8,2.5,16116.3,0.016,0.2014,0.1821,0,4.7,14.3,191,94,6,90,0.42,0.52,1,1,0,0,1,0,0,0,0,0,0,0,0,1
